CAMPAGNE,IDP
2016,600029
2016,600262
2016,600927
2016,601121
2016,601556
2016,601688
2016,602000
2016,602371
2016,602546
2016,603265
2016,604193
2016,604199
2016,604535
2016,605522
2016,605553
2016,605994
2016,606036
2016,607357
2016,607819
2016,607897
2016,608191
2016,608905
2016,609117
2016,609167
2016,609287
2016,609513
2016,609661
2016,610901
2016,610940
2016,610948
2016,610976
2016,612658
2016,612930
2016,612939
2016,613225
2016,613750
2016,613879
2016,614130
2016,614404
2016,614604
2016,614636
2016,614896
2016,615134
2016,615838
2016,615974
2016,616419
2016,616489
2016,616616
2016,617720
2016,617814
2016,618309
2016,618724
2016,618927
2016,619041
2016,619226
2016,619446
2016,619706
2016,621983
2016,622278
2016,622517
2016,622588
2016,622667
2016,623247
2016,623302
2016,623712
2016,623723
2016,623802
2016,624234
2016,624368
2016,624596
2016,625275
2016,625775
2016,626142
2016,626340
2016,626622
2016,626892
2016,627391
2016,627630
2016,627829
2016,629047
2016,629300
2016,629472
2016,629551
2016,629611
2016,629852
2016,629985
2016,630934
2016,631255
2016,631994
2016,632405
2016,634169
2016,636176
2016,636410
2016,636526
2016,638007
2016,638339
2016,638382
2016,639973
2016,640004
2016,640635
2016,642559
2016,643513
2016,643574
2016,644266
2016,644606
2016,644642
2016,644784
2016,645726
2016,645814
2016,646148
2016,646936
2016,647466
2016,647712
2016,648073
2016,648813
2016,649523
2016,649759
2016,650218
2016,650939
2016,651104
2016,652360
2016,652588
2016,653629
2016,654298
2016,654317
2016,655140
2016,655449
2016,655587
2016,655638
2016,655800
2016,655850
2016,655899
2016,656027
2016,656320
2016,656435
2016,657371
2016,657541
2016,657634
2016,657739
2016,658856
2016,659529
2016,659562
2016,660480
2016,660775
2016,661253
2016,661604
2016,662115
2016,663006
2016,663043
2016,663115
2016,663711
2016,664085
2016,664343
2016,664925
2016,665884
2016,665945
2016,666631
2016,667015
2016,667370
2016,667540
2016,668018
2016,668244
2016,668304
2016,668884
2016,669164
2016,669319
2016,669565
2016,670628
2016,672045
2016,672109
2016,672139
2016,672309
2016,672483
2016,672751
2016,673154
2016,673490
2016,673546
2016,673574
2016,673638
2016,673691
2016,673810
2016,674158
2016,674189
2016,674545
2016,674740
2016,675218
2016,675861
2016,676293
2016,676737
2016,676976
2016,677547
2016,678298
2016,678556
2016,679564
2016,679638
2016,679876
2016,680361
2017,700637
2017,701720
2017,701759
2017,702537
2017,702617
2017,703471
2017,703877
2017,704534
2017,704815
2017,705440
2017,707256
2017,708613
2017,709138
2017,709344
2017,709753
2017,710045
2017,710047
2017,710576
2017,710949
2017,711374
2017,711600
2017,711894
2017,712128
2017,712538
2017,713331
2017,713544
2017,713578
2017,713609
2017,713611
2017,714028
2017,714267
2017,714284
2017,714289
2017,714339
2017,715098
2017,715828
2017,715842
2017,715981
2017,716529
2017,717081
2017,717745
2017,718647
2017,719090
2017,719163
2017,719733
2017,719776
2017,720166
2017,720482
2017,720914
2017,722051
2017,722822
2017,723018
2017,724633
2017,724854
2017,724926
2017,725373
2017,725640
2017,725665
2017,725718
2017,726309
2017,727018
2017,727691
2017,728142
2017,728238
2017,728314
2017,728594
2017,728613
2017,729397
2017,730127
2017,730226
2017,730567
2017,730972
2017,731000
2017,732335
2017,732866
2017,733079
2017,733083
2017,733875
2017,733988
2017,734010
2017,734202
2017,734371
2017,735237
2017,735472
2017,735516
2017,735721
2017,735855
2017,737205
2017,737857
2017,738130
2017,738154
2017,741148
2017,741288
2017,741554
2017,742248
2017,742537
2017,742606
2017,742989
2017,743013
2017,743243
2017,744432
2017,744647
2017,745083
2017,745670
2017,745783
2017,746289
2017,746348
2017,746406
2017,746738
2017,747107
2017,747125
2017,747607
2017,748223
2017,748497
2017,749618
2017,750652
2017,750709
2017,751624
2017,751940
2017,752463
2017,753354
2017,753847
2017,754968
2017,755445
2017,756211
2017,756493
2017,756937
2017,758021
2017,758744
2017,759008
2017,759907
2017,761394
2017,762351
2017,762655
2017,763238
2017,764602
2017,764808
2017,764938
2017,765182
2017,765446
2017,765794
2017,766056
2017,766317
2017,766532
2017,767238
2017,767282
2017,768502
2017,769319
2017,769492
2017,769680
2017,770035
2017,770549
2017,770865
2017,770956
2017,771298
2017,771588
2017,772576
2017,773879
2017,775087
2017,775779
2017,776530
2017,776587
2017,776876
2017,777057
2017,777430
2017,777586
2017,778354
2017,778574
2017,778825
2017,779572
2017,779719
2017,779986
2017,780109
2017,780341
2018,802623
2018,802709
2018,803670
2018,804005
2018,804006
2018,804589
2018,804975
2018,805764
2018,806377
2018,806435
2018,806443
2018,806799
2018,806903
2018,807696
2018,807987
2018,808375
2018,810850
2018,811666
2018,812181
2018,812679
2018,812845
2018,813633
2018,814073
2018,814144
2018,814417
2018,815536
2018,815620
2018,815638
2018,816358
2018,817065
2018,817344
2018,818235
2018,818720
2018,819090
2018,819381
2018,820004
2018,821032
2018,822095
2018,822919
2018,823538
2018,824175
2018,825113
2018,826412
2018,828385
2018,828516
2018,828603
2018,828913
2018,829146
2018,829203
2018,829423
2018,829943
2018,830873
2018,831265
2018,831282
2018,831406
2018,833384
2018,834119
2018,834402
2018,835619
2018,836552
2018,836612
2018,837676
2018,838448
2018,838479
2018,840905
2018,840937
2018,841256
2018,843595
2018,844590
2018,844683
2018,844879
2018,845696
2018,847237
2018,848398
2018,848811
2018,849737
2018,850537
2018,852332
2018,852747
2018,852813
2018,852953
2018,853233
2018,853613
2018,854107
2018,854343
2018,854966
2018,855586
2018,856017
2018,856247
2018,856933
2018,857194
2018,857772
2018,858365
2018,858422
2018,858615
2018,858963
2018,859267
2018,859402
2018,859514
2018,859725
2018,860001
2018,863432
2018,863585
2018,863745
2018,863917
2018,865131
2018,866009
2018,867013
2018,867087
2018,867739
2018,867843
2018,869582
2018,869822
2018,870759
2018,871337
2018,871641
2018,871841
2018,871879
2018,874692
2018,876389
2018,876680
2018,876958
2018,877854
2018,878562
2018,879851
2018,880258
2018,880718
2019,900018
2019,900447
2019,902061
2019,903381
2019,903555
2019,904472
2019,904739
2019,905369
2019,905390
2019,905560
2019,906109
2019,906309
2019,906740
2019,907243
2019,907397
2019,907492
2019,908267
2019,908627
2019,908638
2019,910188
2019,911757
2019,913603
2019,913861
2019,914592
2019,915084
2019,915296
2019,915578
2019,915862
2019,919113
2019,919194
2019,919540
2019,919592
2019,919817
2019,920014
2019,920392
2019,920724
2019,920731
2019,921107
2019,922018
2019,922695
2019,923663
2019,923901
2019,925791
2019,926012
2019,926663
2019,927698
2019,927896
2019,928106
2019,928802
2019,929118
2019,930459
2019,931699
2019,931873
2019,931951
2019,931962
2019,932137
2019,932530
2019,932537
2019,932588
2019,932601
2019,933445
2019,933904
2019,934665
2019,934914
2019,935384
2019,935971
2019,936997
2019,937758
2019,938163
2019,938307
2019,938740
2019,939109
2019,939325
2019,939987
2019,940184
2019,941570
2019,942077
2019,942145
2019,942862
2019,943064
2019,944602
2019,945272
2019,945358
2019,945846
2019,946348
2019,946573
2019,948558
2019,949186
2019,950001
2019,950633
2019,950677
2019,951538
2019,951540
2019,954540
2019,954578
2019,956516
2019,956576
2019,956751
2019,957750
2019,958153
2019,958229
2019,959330
2019,959611
2019,959901
2019,960006
2019,960862
2019,961429
2019,962625
2019,962789
2019,963287
2019,963621
2019,964001
2019,964271
2019,964781
2019,964875
2019,966120
2019,966144
2019,966356
2019,966950
2019,967295
2019,968830
2019,969138
2019,970349
2019,970794
2019,971622
2019,971971
2019,972382
2019,972851
2019,972986
2019,973394
2019,973442
2019,973811
2019,974368
2019,976056
2019,977730
2019,978337
2019,978826
2019,978998
2019,979477
2019,980019
2019,980063
2019,980400
2020,1000181
2020,1000386
2020,1001253
2020,1001564
2020,1001571
2020,1001824
2020,1002020
2020,1002182
2020,1002881
2020,1002919
2020,1003217
2020,1003328
2020,1003954
2020,1004756
2020,1005641
2020,1005659
2020,1006562
2020,1007150
2020,1007355
2020,1008109
2020,1009056
2020,1009386
2020,1009558
2020,1010854
2020,1011126
2020,1011582
2020,1011806
2020,1012036
2020,1012350
2020,1012724
2020,1012822
2020,1012871
2020,1013170
2020,1013189
2020,1013794
2020,1014419
2020,1015392
2020,1015504
2020,1015615
2020,1015661
2020,1016130
2020,1016143
2020,1016883
2020,1016904
2020,1016923
2020,1017196
2020,1017506
2020,1017659
2020,1017724
2020,1018047
2020,1018681
2020,1018979
2020,1019122
2020,1019289
2020,1019703
2020,1019735
2020,1020456
2020,1020685
2020,1021383
2020,1021565
2020,1021681
2020,1021953
2020,1022291
2020,1022548
2020,1022839
2020,1023374
2020,1023611
2020,1023983
2020,1024399
2020,1024448
2020,1024649
2020,1024671
2020,1025070
2020,1025405
2020,1025976
2020,1026124
2020,1026598
2020,1027103
2020,1028223
2020,1028817
2020,1029584
2020,1029629
2020,1031033
2020,1031077
2021,1100594
2021,1101912
2021,1102006
2021,1102343
2021,1103054
2021,1103333
2021,1103663
2021,1103707
2021,1103762
2021,1103983
2021,1103999
2021,1104136
2021,1104258
2021,1104457
2021,1104519
2021,1104555
2021,1104763
2021,1104914
2021,1105006
2021,1105080
2021,1105105
2021,1105218
2021,1105521
2021,1105621
2021,1105698
2021,1106017
2021,1106772
2021,1106911
2021,1107181
2021,1107547
2021,1108152
2021,1108248
2021,1108503
2021,1108986
2021,1109555
2021,1109767
2021,1109769
2021,1110346
2021,1111137
2021,1111405
2021,1112244
2021,1112795
2021,1113072
2021,1113217
2021,1113716
2021,1114708
2021,1114891
2021,1115513
2021,1116095
2021,1116567
2021,1117036
2021,1117093
2021,1118093
2021,1118820
2021,1120841
2021,1121043
2021,1121615
2021,1121681
2021,1121978
2021,1122682
2021,1122899
2021,1123152
2021,1123253
2021,1123446
2021,1124205
2021,1125571
2021,1125657
2021,1125834
2021,1125920
2021,1126017
2021,1126270
2021,1126503
2021,1127305
2021,1128475
2021,1128647
2021,1129352
2021,1130398
2021,1130492
2021,1131324
2022,1200592
2022,1201252
2022,1201457
